Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas1                 Pavarde1                      3        10         8         1         7         4         6         2
Vardas2                 Pavarde2                      9         8         4         6         3         4         8         7
Vardas3                 Pavarde3                      8        10         9         8        10         9         8         8
Vardas4                 Pavarde4                      7         8         8         3         8         5         7         4
Vardas5                 Pavarde5                      9         3         6        10         7         9         4         5
Vardas6                 Pavarde6                      9         7         4         6         8         2         8         9
Vardas7                 Pavarde7                      8         4         2         3         1         2         9         1
Vardas8                 Pavarde8                      8         5         7         8         1         4         3         8
Vardas9                 Pavarde9                      4         1        10         9        10         6         9         3
Vardas10               Pavarde10                      4         9         2         4         3         8         2         9
Vardas11               Pavarde11                      9         8         2         3         1         1         3         1
Vardas12               Pavarde12                      3         8         5         4         8         1         1         1
Vardas13               Pavarde13                      8         6         9         3         9         2         5         3
Vardas14               Pavarde14                      1         2        10         1         9         9         9         7
Vardas15               Pavarde15                      1        10         4         7         2        10         8         5
Vardas16               Pavarde16                      9         1         9        10         2         9        10         5
Vardas17               Pavarde17                      2         1         4        10         1         2         9         5
Vardas18               Pavarde18                     10         7         5        10         2         8         6         3
Vardas19               Pavarde19                      3         6         5         9         1         5        10        10
Vardas20               Pavarde20                     10         2         7         9         4         9         7         6
